Method,Metric,Best Value,Threshold,Accuracy,Precision,Recall,F1 Score
wup,Accuracy,0.9,0.0,0.9,0.9,1.0,0.9473684210526316
wup,Precision,1.0,0.41000000000000003,0.55,1.0,0.5,0.6666666666666666
wup,Recall,1.0,0.0,0.9,0.9,1.0,0.9473684210526316
wup,F1 Score,0.9473684210526316,0.0,0.9,0.9,1.0,0.9473684210526316
res,Accuracy,0.9,0.0,0.9,0.9,1.0,0.9473684210526316
res,Precision,1.0,0.23,0.8,1.0,0.7777777777777778,0.8750000000000001
res,Recall,1.0,0.0,0.9,0.9,1.0,0.9473684210526316
res,F1 Score,0.9473684210526316,0.0,0.9,0.9,1.0,0.9473684210526316
jcn,Accuracy,0.9,0.0,0.9,0.9,1.0,0.9473684210526316
jcn,Precision,1.0,0.15,0.2,1.0,0.1111111111111111,0.19999999999999998
jcn,Recall,1.0,0.0,0.9,0.9,1.0,0.9473684210526316
jcn,F1 Score,0.9473684210526316,0.0,0.9,0.9,1.0,0.9473684210526316
lin,Accuracy,0.9,0.0,0.9,0.9,1.0,0.9473684210526316
lin,Precision,1.0,0.23,0.8,1.0,0.7777777777777778,0.8750000000000001
lin,Recall,1.0,0.0,0.9,0.9,1.0,0.9473684210526316
lin,F1 Score,0.9473684210526316,0.0,0.9,0.9,1.0,0.9473684210526316
path,Accuracy,0.9,0.0,0.9,0.9,1.0,0.9473684210526316
path,Precision,1.0,0.37,0.6,1.0,0.5555555555555556,0.7142857142857143
path,Recall,1.0,0.0,0.9,0.9,1.0,0.9473684210526316
path,F1 Score,0.9473684210526316,0.0,0.9,0.9,1.0,0.9473684210526316
lch,Accuracy,0.9,0.0,0.9,0.9,1.0,0.9473684210526316
lch,Precision,1.0,0.28,0.8,1.0,0.7777777777777778,0.8750000000000001
lch,Recall,1.0,0.0,0.9,0.9,1.0,0.9473684210526316
lch,F1 Score,0.9473684210526316,0.0,0.9,0.9,1.0,0.9473684210526316
